Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",13,6,0,32,32,192,9.9375,1.828125,0.9375,0.29191321499013806,0.71276596,0.41221374,0.0990099,95.9622281615497,3.609375,3.21,3.1508736928304044,3.536170850632092,5.944304466247559,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",20,5,0,32,32,186.2,13.54821502403341,2.796428723821843,1.0607143435186301,0.3155216284987277,0.7025247,0.34057971,0.12154696,97.3760989010989,3.857143067340473,3.04,2.853254623315771,2.9242724886054283,5.518601894378662,"Spencer Strider",27498,675911
"Kevin Gausman","TOR",12,9,0,31,31,185,11.52972972972973,2.675675675675676,0.9243243243243243,0.3207126948775056,0.76646091,0.42640693,0.10734463,94.64582331730769,3.1621621621621623,3.85,2.968553873010584,3.21527419976286,5.295448303222656,"Kevin Gausman",14107,592332
"Sonny Gray","MIN",8,8,0,32,32,184,8.951086956521738,2.6902173913043477,0.391304347826087,0.2948207171314741,0.76773567,0.47326733,0.05194805,92.84131493506493,2.7880434782608696,3.69,2.825692533410114,3.6442586753031483,5.284534454345703,"Sonny Gray",12768,543243
"Gerrit Cole","NYY",15,4,0,33,33,209,9.559808612440191,2.0669856459330145,0.861244019138756,0.26145038167938933,0.80434783,0.3962963,0.09433962,96.83374783737024,2.626794258373206,3.48,3.1641312685879797,3.597196205609153,5.226980686187744,"Gerrit Cole",13125,543037
"Zac Gallen","ARI",17,9,0,34,34,210,9.428571428571429,2.0142857142857142,0.9428571428571428,0.3007246376811594,0.73135755,0.41783217,0.10945274,93.51585605360444,3.4714285714285715,4.18,3.26456416902088,3.485153228754089,5.16585111618042,"Zac Gallen",19291,668678
"Justin Steele","CHC",16,5,0,30,30,173.1,9.138461806618963,1.8692308240811517,0.7269230982537812,0.3167701863354037,0.73004202,0.49387755,0.09859155,,3.063461628355221,3.5,3.0185018910176655,3.3229785291497724,4.877711772918701,"Justin Steele",17312,657006
"Logan Webb","SFG",11,13,0,33,33,216,8.083333333333334,1.2916666666666667,0.8333333333333334,0.3016666666666667,0.73684211,0.62113821,0.15384615,92.66995644358407,3.25,3.66,3.162447766904478,2.9538168780781606,4.854587078094482,"Logan Webb",17995,657277
"Zach Eflin","TBR",16,8,0,31,31,177.2,9.42213856703485,1.215759815101271,0.9624765202885062,0.2951167728237792,0.73232323,0.49792531,0.11728395,93.10002156047078,3.495309468416154,3.11,3.0073855823468114,3.124700686717677,4.799575328826904,"Zach Eflin",13774,621107
"Pablo López","MIN",11,8,0,32,32,194,10.855670103092784,2.2268041237113403,1.1134020618556701,0.31275720164609055,0.76228686,0.45238095,0.13114754,94.87546964456106,3.6649484536082473,3,3.3323599471259366,3.283717529460327,4.470285415649414,"Pablo Lopez",17085,641154
"George Kirby","SEA",13,10,0,31,31,190.2,8.11888155204301,0.8968531947024256,1.0384615938659665,0.29182156133828996,0.75057737,0.44165171,0.10679612,96.18561662946429,3.3513987802038008,3.82,3.3442012034148556,3.630514826979142,4.377772808074951,"George Kirby",25436,669923
"Framber Valdez","HOU",12,11,0,31,31,198,9.090909090909092,2.590909090909091,0.8636363636363636,0.28160919540229884,0.7122093,0.54205607,0.13970588,95.66151646205357,3.4545454545454546,4.33,3.4974646019213127,3.3856254026143238,4.34135103225708,"Framber Valdez",17295,664285
"Jordan Montgomery","- - -",10,11,0,32,32,188.2,7.918728021934806,2.2897526810413895,0.8586572553905212,0.29390018484288355,0.75564279,0.43243243,0.09326425,93.38051377333603,3.1961131172869397,4.04,3.5624608583405903,4.013504443107919,4.297837615013123,"Jordan Montgomery",16511,656756
