Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Luke Jackson","SFG",2,2,0,33,0,33.1,11.610001771545681,4.050000617981051,0.8100001235962103,0.2839506172839506,0.74074074,0.5060241,0.10714286,94.45126681857639,2.9700004531861044,3.28,3.285040364074708,3.5038558707814045,0.34330713748931885,"Luke Jackson",11752,592426
"Collin McHugh","ATL",4,1,0,41,1,58.2,7.210228288530954,3.375000475482574,0.7670455626096759,0.34210526315789475,0.69662921,0.43915344,0.0862069,91.33311568859011,4.295455150614186,5.1,4.090267749894274,4.616876944467432,0.33478837739676237,"Collin McHugh",7531,543521
"Brandon Pfaadt","ARI",3,9,0,19,18,96,8.812500700354631,2.437500193715111,2.062500163912786,0.31521739130434784,0.69962687,0.32323232,0.16793893,93.63049666130202,5.718750454485453,4.61,5.1821238459812395,4.45909336943104,0.3345651626586914,"Brandon Pfaadt",27782,694297
"Tony Gonsolin","LAD",8,5,0,20,20,103,7.165048543689321,3.495145631067961,1.6601941747572815,0.23344947735191637,0.67669173,0.35973597,0.13768116,92.55348054604262,4.980582524271845,5.85,5.4297976410504685,5.246909699740919,0.3335910439491272,"Tony Gonsolin",19388,664062
"Bryse Wilson","MIL",6,0,3,53,0,76.2,7.160870515358371,2.58260903832597,1.0565218793151696,0.2318181818181818,0.81232493,0.37777778,0.09183673,93.71152750651042,2.58260903832597,3.98,4.128953518930606,4.716281491040007,0.33237648010253906,"Bryse Wilson",19990,669060
"James Kaprielian","OAK",2,6,0,14,11,61,8.40983632853262,4.573770634815986,1.3278688939788348,0.3202247191011236,0.63758389,0.30434783,0.09782609,92.54767941899945,6.3442624934544325,4.86,5.07471254754214,5.6502594731352485,0.3313627219758928,"James Kaprielian",18331,621076
"John King","- - -",2,1,0,35,0,37.1,4.8214294746215725,2.4107147373107862,0.4821429474621572,0.344,0.76628352,0.66935484,0.0952381,93.5217514038086,3.6160721059661793,4.48,3.6836118683523216,3.917193702277316,0.32297490537166595,"John King",22051,667463
"Julio Teheran","MIL",3,5,0,14,11,71.2,6.27906999025815,1.632558197467119,1.632558197467119,0.2644230769230769,0.73353293,0.4,0.14285714,89.16957729677611,4.395348993180705,4.9,4.929459023565911,4.6706917066084435,0.3227757513523102,"Julio Teheran",6797,527054
"Cody Bradford","TEX",4,3,0,20,8,56,8.196429408934737,1.928571625631703,1.7678573234957276,0.2830188679245283,0.67164179,0.32142857,0.14102564,90.25598811205273,5.303571970487183,4.51,4.683611934039073,4.4329232799972385,0.31850909627974033,"Cody Bradford",27597,674003
"John Brebbia","SFG",3,5,0,40,10,38.1,11.034784896432814,3.286957203192753,1.4086959442254656,0.26595744680851063,0.6557377,0.29,0.11111111,94.43238722278225,3.991305175305486,3.33,3.933301369679702,4.2275882492994,0.31802208721637726,"John Brebbia",12777,605154
"Kyle Finnegan","WSN",7,5,28,67,0,69.1,8.177885215310699,3.1153848439278855,1.4278847201336142,0.291005291005291,0.76719577,0.47179487,0.17741935,97.36825742894057,3.764423353079528,4.83,4.581963533762652,3.9979415016629067,0.317021906375885,"Kyle Finnegan",15009,640448
"Daniel Lynch IV","KCR",3,4,0,9,9,52.1,5.847133900032138,2.7515924235445355,1.5477707382438013,0.25153374233128833,0.69852941,0.38823529,0.11842105,92.78378623188406,4.643312214731404,4.93,5.165868431402998,5.331245504851983,0.31055325269699097,"Daniel Lynch IV",21537,663738
"Dakota Hudson","STL",6,3,0,18,12,81.1,4.97950827457097,3.762295140786955,0.9959016549141939,0.3038461538461538,0.71057192,0.51492537,0.12328767,91.28746065647482,4.97950827457097,6.08,5.062417436933941,5.107843806968219,0.30391785502433777,"Dakota Hudson",19206,641712
"Slade Cecconi","ARI",0,1,0,7,4,27,6.6666676085673595,1.3333335217134719,1.3333335217134719,0.2839506172839506,0.72992701,0.38095238,0.11428571,94.27296522797131,4.333333945568784,4.67,4.36615162759163,4.583459487488588,0.3037281185388565,"Slade Cecconi",27500,677944
"Giovanny Gallegos","STL",2,4,10,56,0,55,9.654547463409589,1.9636367722188997,1.8000003745339912,0.2925170068027211,0.75098814,0.3525641,0.15277778,93.8618263261851,4.418182737492524,4.3,4.3641314993614495,3.9285191593472852,0.303713858127594,"Giovanny Gallegos",14986,606149
"Isaiah Campbell","SEA",4,1,1,27,0,28.2,10.360467414072483,4.081396254028554,0.627907116004393,0.28169014084507044,0.81325301,0.39726027,0.06666667,95.02359444754464,2.825582022019768,3.87,3.324807816830892,4.14808309076392,0.3027515411376953,"Isaiah Campbell",25551,663462
